Indicator,2020,2021,2022,2023,2024
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,97.55,106.38,117.49,129.69,118.20
Total Revenue,97.55,106.38,117.49,129.69,118.20
"Selling/General/Admin. Expenses, Total",15.60,12.59,12.97,16.25,14.87
Depreciation/Amortisation,0.68,0.81,0.95,0.53,1.63
Unusual Expense (Income),0.00,0.02,-0.57,-0.18,-0.18
"Other Operating Expenses, Total",-0.44,-3.10,-1.19,-0.18,-0.63
Total Operating Expense,95.37,99.33,111.37,130.23,122.09
Operating Income,2.18,7.05,6.12,-0.54,-3.89
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.20,-0.21,-0.30,-4.07,-1.97
"Other, Net",-,-,-,-10.04,-2.27
Net Income Before Taxes,1.98,6.84,5.82,-14.66,-8.13
Provision for Income Taxes,0.62,1.62,0.77,0.44,0.80
Net Income After Taxes,1.36,5.21,5.05,-15.09,-8.93
Net Income Before Extra. Items,2.03,5.59,5.17,-14.90,-8.79
Net Income,2.03,5.59,5.17,-14.90,-8.79
Income Available to Com Excl ExtraOrd,2.03,5.59,5.17,-14.90,-8.79
Income Available to Com Incl ExtraOrd,2.03,5.59,5.17,-14.90,-8.79
Diluted Net Income,2.03,5.59,5.17,-14.90,-8.79
Diluted Weighted Average Shares,496.16,496.85,523.34,618.00,630.19
Diluted EPS Excluding ExtraOrd Items,0.00,0.01,0.01,-0.02,-0.01
DPS - Common Stock Primary Issue,-,-,-,-,-
Diluted Normalised EPS,0.00,0.01,0.01,-0.02,-0.01
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Source,ARS,ARS,ARS,ARS,ARS
Cash,7.25,7.06,15.74,15.15,14.88
Short Term Investments,0.97,0.61,0.00,-,2.09
Cash and Short Term Investments,8.22,7.67,15.74,15.15,16.97
"Accounts Receivable - Trade, Net",23.09,38.25,26.82,11.38,22.46
"Total Receivables, Net",23.24,38.51,33.31,14.92,22.46
Prepaid Expenses,0.89,2.75,0.24,0.48,-
"Other Current Assets, Total",3.23,0.27,-,-,-
Total Current Assets,47.02,63.84,83.19,60.61,57.73
"Property/Plant/Equipment, Total - Gross",60.40,75.79,-,-,-
"Accumulated Depreciation, Total",-47.83,-49.56,-,-,-
"Property/Plant/Equipment, Total - Net",12.57,26.22,29.22,38.53,34.90
"Goodwill, Net",0.11,0.11,0.11,6.51,6.51
"Intangibles, Net",0.03,0.01,0.01,1.45,3.17
