Indicator,2020,2021,2022,2023,2024
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,"7,868.28","7,158.29","7,692.87","9,035.10","10,101.02"
Total Revenue,"7,868.28","7,158.29","7,692.87","9,035.10","10,101.02"
"Selling/General/Admin. Expenses, Total",847.59,820.41,790.73,922.16,932.00
Depreciation/Amortisation,31.53,45.16,40.62,42.79,41.78
Unusual Expense (Income),5.18,4.04,-11.74,-37.29,-6.29
"Other Operating Expenses, Total",102.36,91.92,57.80,69.18,149.54
Total Operating Expense,"7,219.47","6,592.33","7,035.21","8,333.28","9,244.46"
Operating Income,648.81,565.96,657.66,701.82,856.56
"Interest Inc.(Exp.),Net-Non-Op., Total",4.34,-31.56,-20.05,-104.36,-152.35
"Other, Net",33.07,-,-,-,-
Net Income Before Taxes,695.24,534.40,637.61,597.47,704.21
Provision for Income Taxes,102.57,8.78,70.64,54.13,99.79
Net Income After Taxes,592.67,525.62,566.97,543.34,604.43
Net Income Before Extra. Items,577.95,521.84,570.54,535.01,586.47
Net Income,577.95,521.84,570.54,535.01,586.47
Income Available to Com Excl ExtraOrd,577.95,521.84,570.54,535.01,586.47
Income Available to Com Incl ExtraOrd,577.95,521.84,570.54,535.01,586.47
Diluted Net Income,577.95,521.84,570.54,535.01,586.47
Diluted Weighted Average Shares,"3,137.53","3,136.05","3,135.42","3,135.18","3,115.49"
Diluted EPS Excluding ExtraOrd Items,0.18,0.17,0.18,0.17,0.19
DPS - Common Stock Primary Issue,0.15,0.15,0.15,0.16,0.16
Diluted Normalised EPS,0.18,0.17,0.18,0.16,0.19
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Source,ARS,ARS,ARS,ARS,ARS
Cash,452.10,729.48,815.92,601.77,353.34
Short Term Investments,0.60,-,-,-,-
Cash and Short Term Investments,452.70,729.48,815.92,601.77,353.34
"Accounts Receivable - Trade, Net","2,495.70","2,605.85","2,807.38","3,264.15","3,832.03"
"Total Receivables, Net","2,793.37","2,912.95","3,215.28","3,701.72","4,277.12"
Prepaid Expenses,59.20,41.52,24.66,80.56,57.57
"Other Current Assets, Total",22.06,37.96,39.48,58.83,44.50
Total Current Assets,"4,639.19","4,991.10","5,356.50","6,127.11","6,629.80"
"Property/Plant/Equipment, Total - Gross","4,473.96","4,630.29","4,895.58","5,176.51","5,402.87"
"Accumulated Depreciation, Total","-2,184.95","-2,334.54","-2,543.21","-2,518.37","-2,675.55"
