Indicator,2020,2021,2022,2023,2024
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,131.91,164.44,271.22,372.39,299.91
Total Revenue,131.91,164.44,271.22,372.39,299.91
"Selling/General/Admin. Expenses, Total",7.64,8.51,12.28,16.20,17.76
Depreciation/Amortisation,6.72,7.55,12.47,15.75,18.07
Unusual Expense (Income),1.03,7.11,2.08,-0.03,-0.49
"Other Operating Expenses, Total",1.56,2.59,5.03,4.82,6.47
Total Operating Expense,98.31,123.09,193.41,267.53,230.93
Operating Income,33.60,41.35,77.81,104.86,68.98
"Interest Inc.(Exp.),Net-Non-Op., Total",1.59,-2.37,1.58,-1.86,-1.17
"Other, Net",-,-,-,-,-
Net Income Before Taxes,35.46,38.89,79.40,103.22,68.50
Provision for Income Taxes,2.24,2.60,21.82,1.24,7.31
Net Income After Taxes,33.21,36.29,57.58,101.98,61.19
Net Income Before Extra. Items,33.56,36.47,53.10,98.17,59.98
Net Income,33.56,36.47,53.10,98.17,59.98
Income Available to Com Excl ExtraOrd,33.56,36.47,53.10,98.17,59.98
Income Available to Com Incl ExtraOrd,33.56,36.47,53.10,98.17,59.98
Diluted Net Income,33.56,36.47,53.10,98.17,59.98
Diluted Weighted Average Shares,670.54,667.58,666.79,667.48,670.44
Diluted EPS Excluding ExtraOrd Items,0.05,0.05,0.08,0.15,0.09
DPS - Common Stock Primary Issue,0.03,0.03,0.05,0.05,0.06
Diluted Normalised EPS,0.05,0.06,0.08,0.15,0.09
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Source,ARS,ARS,ARS,ARS,ARS
Cash,-,-,-,-,-
Short Term Investments,4.59,5.34,11.14,1.22,8.09
Cash and Short Term Investments,34.36,53.79,65.41,62.64,68.04
"Accounts Receivable - Trade, Net",18.20,20.45,52.34,49.97,42.05
"Total Receivables, Net",21.70,23.18,65.53,77.51,53.84
Prepaid Expenses,0.38,0.30,1.65,2.38,2.40
"Other Current Assets, Total",-,-,-,-,-
Total Current Assets,108.18,131.20,219.70,253.20,235.04
"Property/Plant/Equipment, Total - Gross",190.48,200.74,278.21,309.41,337.13
"Accumulated Depreciation, Total",-133.94,-139.67,-151.43,-163.03,-174.50
"Property/Plant/Equipment, Total - Net",56.54,61.07,126.78,146.38,162.63
"Goodwill, Net",81.21,80.08,86.35,86.35,86.35
"Intangibles, Net",0.00,-,2.20,1.90,1.60
Long Term Investments,41.23,37.11,1.66,1.50,1.37
