Indicator,2020,2021,2022,2023,2024
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,"3,633.43","3,012.89","3,107.46","3,863.72","3,025.03"
Total Revenue,"3,633.43","3,012.89","3,107.46","3,863.72","3,025.03"
"Selling/General/Admin. Expenses, Total",1.61,2.07,1.96,1.01,2.15
Depreciation/Amortisation,38.69,41.61,36.88,32.85,31.48
Unusual Expense (Income),-,-,-,-,-
"Other Operating Expenses, Total",93.28,79.06,77.18,92.50,84.93
Total Operating Expense,"3,223.93","2,675.79","2,754.41","3,423.86","2,721.94"
Operating Income,409.51,337.10,353.04,439.86,303.09
"Interest Inc.(Exp.),Net-Non-Op., Total",10.52,5.73,6.55,9.04,27.68
"Other, Net",-,-,-,-,-
Net Income Before Taxes,420.02,342.83,359.59,448.90,330.76
Provision for Income Taxes,56.64,45.43,47.27,78.78,60.03
Net Income After Taxes,363.38,297.40,312.32,370.11,270.73
Net Income Before Extra. Items,363.13,297.33,312.05,369.62,270.02
Net Income,363.13,297.33,312.05,369.62,270.02
Income Available to Com Excl ExtraOrd,363.13,297.33,312.05,369.62,270.02
Income Available to Com Incl ExtraOrd,363.13,297.33,312.05,369.62,270.02
Diluted Net Income,363.13,297.33,312.05,369.62,270.02
Diluted Weighted Average Shares,289.91,290.81,291.60,291.50,291.47
Diluted EPS Excluding ExtraOrd Items,1.25,1.02,1.07,1.27,0.93
DPS - Common Stock Primary Issue,0.70,0.75,0.75,0.75,0.75
Diluted Normalised EPS,1.25,1.03,1.07,1.27,0.93
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Source,ARS,ARS,ARS,ARS,ARS
Cash,460.36,538.61,265.72,246.55,136.94
Short Term Investments,254.11,390.13,542.22,566.04,919.36
Cash and Short Term Investments,714.47,928.74,807.93,812.59,"1,056.30"
"Accounts Receivable - Trade, Net",907.39,719.44,849.28,917.11,690.33
"Total Receivables, Net",924.72,738.14,880.16,955.01,710.73
Prepaid Expenses,-,-,-,-,14.60
"Other Current Assets, Total",-,-,-,-,0.70
Total Current Assets,"2,345.34","2,323.33","2,737.52","2,832.91","2,605.23"
"Property/Plant/Equipment, Total - Gross",684.48,701.94,715.61,750.06,784.15
"Accumulated Depreciation, Total",-425.27,-455.11,-488.00,-502.38,-510.77
"Property/Plant/Equipment, Total - Net",259.21,246.83,227.61,247.68,273.37
"Goodwill, Net",639.71,639.71,639.71,639.71,639.71
