Asset Turnover,Current Ratio,Diluted Normalised EPS,Diluted Normalised EPS Growth (%),Net Profit Margin,Operating Margin,Quick Ratio,Return on Assets (ROA),Return on Equity (ROE),Year,Company
0.3595,2.915,0.07,22.707500000000003,0.12,0.155,2.914,-0.0085,-0.0014999999999999944,2020,Captii
0.388,3.942,0.11,49.1,0.196,0.238,3.941,0.076,0.079,2021,Captii
0.375,3.307,0.24,125.87,0.398,0.438,3.307,0.149,0.19,2022,Captii
0.346,4.459,-0.11,-146.23,-0.14,-0.107,4.458,-0.048,-0.071,2023,Captii
0.329,4.822,-0.18,62.09,-0.641,-0.616,4.821,-0.211,-0.204,2024,Captii
1.25325,1.483,0.05,166.19,0.053,0.067,1.36,0.04,0.08975,2020,CSE Global
1.26,1.58,0.05,16.57,0.056,0.073,1.418,0.07,0.152,2021,CSE Global
1.173,1.837,0.03,-47.06,0.032,0.043,1.622,0.038,0.078,2022,CSE Global
1.252,1.465,0.0,-85.47,0.009,0.015,1.231,0.011,0.024,2023,CSE Global
1.328,1.197,0.04,780.72,0.031,0.053,0.986,0.041,0.105,2024,CSE Global
0.1865,1.15,0.0,-39.00333333333334,-0.111,-0.136,0.939,-0.63775,-1.8769999999999998,2020,V2Y Corp
0.181,1.676,-0.02,-39.00333333333334,-2.884,-2.951,1.676,-0.523,-1.376,2021,V2Y Corp
0.288,1.419,-0.0,-73.54,-1.646,-1.697,1.419,-0.475,-0.916,2022,V2Y Corp
0.125,2.437,-0.0,9.58,-7.188,-7.431,2.437,-0.901,-2.369,2023,V2Y Corp
0.152,1.136,-0.0,-53.05,-4.284,-4.233,1.136,-0.652,-2.847,2024,V2Y Corp
0.07575000000000001,1.342,-0.04,-297.2975,-0.475,-0.372,1.342,-0.4605,-0.57175,2020,SinoCloud Grp
0.1,0.401,0.09,-363.38,-5.75,-5.569,0.401,-0.577,-0.584,2021,SinoCloud Grp
0.038,0.559,-0.09,-194.89,-1.766,-1.353,0.559,-0.067,-0.101,2022,SinoCloud Grp
0.076,0.163,0.36,-503.78,-12.374,-11.535,0.163,-0.945,-1.19,2023,SinoCloud Grp
0.089,0.146,-0.1,-127.14,-2.84,-1.769,0.146,-0.253,-0.412,2024,SinoCloud Grp
0.39925,0.954,0.0,-137.81,0.19,0.305,0.715,-0.23550000000000001,-0.75275,2020,Addvalue Tech
0.135,0.922,-0.0,-421.43,-2.308,-1.619,0.68,-0.311,-0.784,2021,Addvalue Tech
0.311,0.54,-0.0,3.81,-1.459,-1.215,0.274,-0.454,-1.548,2022,Addvalue Tech
0.483,1.398,-0.0,-67.58,-0.396,-0.377,0.523,-0.192,-0.725,2023,Addvalue Tech
0.668,1.286,-0.0,-66.04,0.022,0.081,0.558,0.015,0.046,2024,Addvalue Tech
0.40825,1.985,0.07,-20.284999999999997,0.242,0.279,1.719,0.0815,0.11624999999999999,2020,Nanofilm
0.558,4.067,0.1,50.06,0.266,0.328,3.887,0.148,0.209,2021,Nanofilm
0.413,4.437,0.09,-10.9,0.253,0.278,4.203,0.105,0.145,2022,Nanofilm
0.376,4.995,0.07,-29.39,0.182,0.193,4.676,0.069,0.103,2023,Nanofilm
0.286,5.865,0.01,-90.91,0.015,0.017,5.44,0.004,0.008,2024,Nanofilm
0.92575,3.105,1.25,-5.570000000000001,0.1,0.113,2.17,0.08900000000000001,0.11574999999999999,2020,Venture
0.925,3.652,1.03,-17.94,0.099,0.112,2.62,0.091,0.117,2021,Venture
0.904,3.017,1.07,4.06,0.101,0.114,1.86,0.091,0.118,2022,Venture
1.046,3.172,1.27,18.54,0.096,0.114,1.979,0.1,0.133,2023,Venture
0.828,3.739,0.93,-26.94,0.089,0.1,2.558,0.074,0.095,2024,Venture
1.17675,2.207,0.19,-0.039999999999995595,0.163,0.195,1.566,0.17200000000000001,0.28675,2020,AEM SGD
1.842,2.405,0.35,81.31,0.188,0.218,1.685,0.346,0.564,2021,AEM SGD
1.081,2.339,0.31,-11.05,0.163,0.198,1.467,0.176,0.3,2022,AEM SGD
1.148,3.511,0.4,30.6,0.146,0.184,1.325,0.168,0.286,2023,AEM SGD
0.636,2.795,-0.0,-101.02,-0.002,0.029,0.924,-0.002,-0.003,2024,AEM SGD
0.14675,16.955,0.01,4.640000000000001,0.202,0.212,16.838,-0.0225,-0.0235,2020,Asia Vets
0.198,4.949,0.0,-97.97,0.003,0.022,4.905,0.001,0.001,2021,Asia Vets
0.145,18.383,-0.0,4.640000000000001,-0.09,-0.093,18.212,-0.013,-0.014,2022,Asia Vets
0.122,15.321,-0.01,114.75,-0.317,-0.316,15.165,-0.039,-0.04,2023,Asia Vets
0.122,13.867,-0.01,-2.86,-0.32,-0.316,13.724,-0.039,-0.041,2024,Asia Vets
0.696,2.219,-0.02,-147.65,0.31,0.369,2.077,-0.08750000000000001,-0.033,2020,ASTI
0.563,2.404,0.0,-110.67,-0.041,0.111,2.283,-0.023,0.028,2021,ASTI
0.644,1.756,-0.02,-147.65,-0.488,-0.406,1.607,-0.314,-0.171,2022,ASTI
0.887,1.888,0.01,-151.16,0.068,0.087,1.737,0.06,0.088,2023,ASTI
0.69,1.835,-0.01,-181.12,-0.105,-0.066,1.657,-0.073,-0.077,2024,ASTI
0.6739999999999999,3.327,0.05,23.057499999999997,0.252,0.255,1.736,0.15525,0.20875,2020,UMS
0.551,2.841,0.06,26.57,0.221,0.251,1.673,0.122,0.147,2021,UMS
0.727,2.457,0.08,26.59,0.212,0.287,1.483,0.154,0.2,2022,UMS
0.804,3.078,0.15,79.17,0.274,0.282,1.733,0.22,0.317,2023,UMS
0.614,3.564,0.09,-40.1,0.204,0.23,1.885,0.125,0.171,2024,UMS
0.9084999999999999,2.866,0.02,18.055,0.274,0.334,2.866,0.35075,0.5165000000000001,2020,Audience
