Sub-sector,Company Name,Year,GHG Emissions (Scope 1) (tCO2e),GHG Emissions (Scope 2) (tCO2e),GHG Emissions (Scope 3) (tCO2e),Total Energy Consumption (MWhs),Total Water Consumption (ML),Total Waste Generated (t),Current Employees by Gender (Female %),New Hires and Turnover by Gender (Female %),Current Employees by Age Groups (Millennials %),Total Turnover (%),Total Number of Employees,Average Training Hours per Employee,Fatalities,High-consequence injuries,Recordable injuries,Recordable work-related ill health cases,Board Independence (%),Women on the Board (%),Women in Management Team (%),Anti-Corruption Training for Employees (%)
Software and Services,Company_1,2020,439.3300876,692.120861,934.2822719,9795.219615,190.4660714,10.89049643,28.49065668,38.89885833,64.54086269,10.97379343,649,20.90047772,0,1,5,0,70.01360073,14.05396846,38.37203904,84.10689848
Software and Services,Company_1,2021,378.0909616,980.7395854,715.1532312,18050.23659,458.7619227,25.15948102,26.76286208,41.36949471,59.27069975,17.02524575,261,32.47122388,2,0,5,2,57.92297662,30.04762049,13.50414669,79.68845083
Software and Services,Company_1,2022,399.2355179,287.7269,1519.212044,48655.67707,963.6493384,39.01696634,24.90411692,36.38838524,60.90716803,14.87821595,249,16.93597334,0,2,3,1,76.93414032,32.2221354,36.8975526,68.05320001
Software and Services,Company_1,2023,104.2085686,845.016119,1373.225502,19265.75267,815.2010983,36.15565651,22.46724577,21.78087107,35.88027662,10.10651047,716,15.4345526,1,0,7,2,87.08357884,28.55219487,36.05254355,75.19687142
Software and Services,Company_1,2024,309.9913969,483.561409,999.3161475,7567.449918,228.2465681,35.1961244,28.68977501,23.06496359,49.6617616,7.047953018,823,29.96202909,0,0,7,1,59.7302667,27.13203274,11.98835948,66.66934707
Software and Services,Company_2,2020,487.8922946,810.9207251,1161.248643,41218.72322,442.3399857,35.81918578,24.49675956,39.57334595,62.30659396,5.32395622,144,11.12269869,0,1,3,1,65.15869866,41.07420668,15.18916871,55.83070229
Software and Services,Company_2,2021,155.5754379,377.6375267,562.9457582,8914.633526,441.748585,32.5337656,21.69303752,18.19316267,52.35796084,11.34644961,382,38.78258518,2,2,9,0,85.06164746,44.27296554,18.70090747,92.34744768
Software and Services,Company_2,2022,177.5026999,540.9414414,862.6527574,34716.18311,344.3832031,88.65906814,30.95551309,34.26908152,58.4093824,6.26445154,152,16.89230531,1,2,2,2,86.3759213,30.18712166,16.48228306,77.95623287
Software and Services,Company_2,2023,438.9790489,274.8032795,1591.279003,43826.04475,978.961488,89.32683234,45.66623096,12.63923635,45.56008108,10.54251025,970,41.13996036,0,2,0,2,70.38637127,40.79751174,17.18031017,71.33579375
Software and Services,Company_2,2024,204.0783815,289.4652553,1554.422494,8183.779551,384.8952274,74.20416327,39.55662619,13.42973174,53.51850389,10.38613165,616,18.82321887,1,0,4,3,89.22602273,21.14042037,15.5836901,61.10334812
Software and Services,Company_3,2020,493.3645858,720.0114754,1480.299781,18663.37904,893.3809731,67.97781986,42.04224324,37.07448338,67.62445408,5.025690644,638,46.61878411,1,0,8,2,67.33369711,28.63666561,33.95650975,61.07190951
Software and Services,Company_3,2021,73.81338255,705.7117418,311.6164299,24536.53066,328.947295,41.46266988,39.80545705,28.58380028,68.10686965,7.353930859,764,42.43603783,1,1,5,1,90.6947371,26.10898831,12.32643718,72.81452536
Software and Services,Company_3,2022,254.4089609,171.0639717,579.0148855,10810.30906,357.6454694,32.1254831,27.45048804,24.91931945,47.62820708,8.788346191,463,44.02641331,1,2,0,3,87.46104044,33.9527149,20.97728748,78.83581727
Software and Services,Company_3,2023,209.3853075,818.9378548,1676.528097,39741.03552,712.6590171,67.64726446,29.14667051,20.21191588,51.59104817,5.2610557,493,15.93618803,0,2,0,0,92.90236126,17.27051442,25.04988704,74.38513171
Software and Services,Company_3,2024,171.0063391,565.3468759,1730.63077,44494.1015,281.1736641,60.64321835,21.84872053,30.92427027,64.45259922,7.393602214,908,25.71033153,0,3,2,0,60.32050328,17.80578387,32.05755685,67.15535658
Software and Services,Company_4,2020,82.04818757,349.6546252,819.6007823,47287.9953,309.655775,98.23830857,41.4867407,16.73912903,42.99674672,8.734697316,760,38.4666969,1,2,2,0,81.15285014,14.34353129,28.54396627,65.39402523
